[2025-06-30 00:15:59] app.INFO [N/A] [407c95d] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["product_list"] [GET, /products/list?category_id=28, 54.165.85.220, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8]
[2025-06-30 00:27:42] front.INFO [N/A] [c149b5e] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /, 107.174.224.18, http://s-africa.wine/, Mozilla/5.0]
[2025-06-30 00:27:42] front.INFO [N/A] [c149b5e] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["homepage"] [GET, /, 107.174.224.18, http://s-africa.wine/, Mozilla/5.0]
[2025-06-30 00:27:42] front.INFO [N/A] [c149b5e] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["homepage"] [GET, /, 107.174.224.18, http://s-africa.wine/, Mozilla/5.0]
[2025-06-30 00:27:43] front.INFO [ae5d429e] [c149b5e] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["homepage"] [GET, /, 107.174.224.18, http://s-africa.wine/, Mozilla/5.0]
[2025-06-30 00:27:43] app.INFO [N/A] [c149b5e] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["homepage"] [GET, /, 107.174.224.18, http://s-africa.wine/, Mozilla/5.0]
[2025-06-30 00:28:42] front.INFO [N/A] [6a00e45] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:42] front.INFO [N/A] [6a00e45] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["homepage"] [GET, /, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:42] front.INFO [N/A] [6a00e45] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["homepage"] [GET, /, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:42] front.INFO [b617dad9] [6a00e45] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["homepage"] [GET, /, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:42] app.INFO [N/A] [6a00e45] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["homepage"] [GET, /, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:50] front.INFO [N/A] [bd2c312] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /mypage/login, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:50] front.INFO [b617dad9] [bd2c312] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["mypage_login"] [GET, /mypage/login, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:50] front.INFO [b617dad9] [bd2c312] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["mypage_login"] [GET, /mypage/login, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
[2025-06-30 00:28:50] front.INFO [b617dad9] [bd2c312] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["mypage_login"] [GET, /mypage/login, 185.21.13.25, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36]
